PMCID,ORIGINAL SENTENCE,NER ANNOTATION,IAO SECTION
PMC10001121_v1,"Animal Ethics Committee of Universidade Federal de Viçosa approved the experiment according to the protocols numbers 09/2017 and 33/2018, and the principles established by the National Animal Experimentation Control Council [17].","[{""entity_group"": ""methodology"", ""word"": ""animal experimentation"", ""start"": 185, ""end"": 207, ""score"": 0.9998798966407776}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10001121_v1,All animal experiments were conducted at UFV’s Experimental Nutrition Laboratory.,"[{""entity_group"": ""methodology"", ""word"": ""animal experiments"", ""start"": 4, ""end"": 22, ""score"": 0.999821662902832}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10001121_v1,"The negative control group (G1, n = 8) received an AIN-93 diet, with 10% of total calories derived from lipids [20] and water from the induction phase until the end of the experiment.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 13, ""end"": 26, ""score"": 0.9999233484268188}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10001121_v1,"After this period, the treatment phase began and the mice that were fed with an HFD were randomly divided into two intervention groups (A and B) with a subset of four experimental groups each (Figure 1): high-fat diet (HFD) (G2, n = 7), LG-G12 HFD (G3, n = 7), cefriatoxane HFD (G4, n = 7), cefriatoxane + LG-G12 HFD (G5, n = 7), standard fat diet (SFD) (G6, n = 8), LG-G12 SFD (G7, n = 7), cefriatoxane SFD (G8, n = 7), and cefriatoxane + LG-G12 SFD (G9, n = 8).","[{""entity_group"": ""methodology"", ""word"": ""randomly divided"", ""start"": 89, ""end"": 105, ""score"": 0.999932050704956}, {""entity_group"": ""methodology"", ""word"": ""intervention groups"", ""start"": 115, ""end"": 134, ""score"": 0.9998868703842163}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10001121_v1,A gavage treatment was administered every evening at the same time.,"[{""entity_group"": ""methodology"", ""word"": ""gavage"", ""start"": 2, ""end"": 8, ""score"": 0.9377797245979309}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10001121_v1,More information about the experimental design is available at Dias et al.,"[{""entity_group"": ""methodology"", ""word"": ""experimental design"", ""start"": 27, ""end"": 46, ""score"": 0.9921175241470337}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10001121_v1,"This methodology was adopted because the animals are isogenic and live in a controlled environment, and can therefore be considered biological replicates.","[{""entity_group"": ""methodology"", ""word"": ""controlled environment"", ""start"": 76, ""end"": 98, ""score"": 0.9986563920974731}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10001121_v1,"[6], in a systematic review of randomized controlled clinical trials, suggested that the modulatory effect of Lactobacillus in weight loss is strain-dependent and can require its association with calorie restriction, phenolic compounds, or other bacterial strains.","[{""entity_group"": ""methodology"", ""word"": ""systematic review of randomized controlled clinical trials"", ""start"": 10, ""end"": 68, ""score"": 0.9990440607070923}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC10001121_v1,"The increase in the relative abundance of the genera Jeotgalicoccus and Sporosarcina, although less described in the literature, are associated with beneficial outcomes in animal models fed high-fat diets [52,53].","[{""entity_group"": ""methodology"", ""word"": ""animal models"", ""start"": 172, ""end"": 185, ""score"": 0.9994792342185974}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC10001121_v1,"The genera Lactobacillus (LDA > 4), Dehalobacterium (LDA > 2), and Erysipelotrichaceae cc_115 (LDA > 3) were identified as biomarkers in the obese control group (G2).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 147, ""end"": 160, ""score"": 0.999592661857605}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC10001121_v1,"The genus Corynebacterium (LDA > 3) was identified as a biomarker of group G1, while the genera Blautia (LDA > 3), Clostridium (LDA > 4), and Akkermansia (LDA > 5) appear enriched in the control group G6 (AIN-93 intake during the treatment phase).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 187, ""end"": 200, ""score"": 0.9999520182609558}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC10001121_v1,[64] observed enrichment of Bifidobacterium pseudolongum species in HFD-probiotic mice when compared to the HFD-placebo group.,"[{""entity_group"": ""methodology"", ""word"": ""placebo group"", ""start"": 112, ""end"": 125, ""score"": 0.9987857341766357}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC10001121_v1,"The Animal Ethics Committee of Universidade Federal de Viçosa approved the exper-iment according to the protocols numbers 09/2017 and 33/2018, and the principles es-tablished by the National Animal Experimentation Control Council.","[{""entity_group"": ""methodology"", ""word"": ""animal experimentation"", ""start"": 191, ""end"": 213, ""score"": 0.9999048113822937}]",IAO:0000314 document part
PMC10004845_v1,"These data allowed us to discuss whether EVOO polyphenols and unsaponifiable matter, in general, could be responsible for all the EVOO effects on the bacterial taxa that were not duplicated in the ROO experimental group.","[{""entity_group"": ""methodology"", ""word"": ""experimental group"", ""start"": 201, ""end"": 219, ""score"": 0.9997860789299011}]",IAO:0000319 discussion section
PMC10005657_v1,"In this study, a high-fat diet (HFD) was used to induce a hyperlipidemic rat model.","[{""entity_group"": ""methodology"", ""word"": ""hyperlip"", ""start"": 58, ""end"": 66, ""score"": 0.695574939250946}, {""entity_group"": ""methodology"", ""word"": ""##mic rat model"", ""start"": 69, ""end"": 82, ""score"": 0.8845705389976501}]",IAO:0000315 textual abstract section
PMC10005657_v1,The reaction of three metabolites should be the conventional pathway of genistin metabolism in vivo.,"[{""entity_group"": ""methodology"", ""word"": ""vivo"", ""start"": 95, ""end"": 99, ""score"": 0.8273136615753174}]",IAO:0000318 results section
PMC10005657_v1,The metabolic behaviors of drug or natural products in vivo have always been the focus of study for their continued development.,"[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 52, ""end"": 59, ""score"": 0.7687198519706726}]",IAO:0000319 discussion section
PMC10005657_v1,"Based on the above results, we speculated that the reactions of three metabolites detected in both normal and pathological rats should be the routine pathways for genistin metabolism in vivo, and metabolic reactions of seven metabolites in normal rats might be stress patterns of genistin being cleared in a normal organism.","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 183, ""end"": 190, ""score"": 0.9993865489959717}]",IAO:0000319 discussion section
PMC10005657_v1,"Secondly, genistin obviously reversed the disorder in vivo caused by HFD (p < 0.05); this effective activity was also confirmed by pathological results.","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 51, ""end"": 58, ""score"": 0.9959733486175537}]",IAO:0000319 discussion section
PMC10005657_v1,"Afterward, all rats were randomly divided into the control group (6 rats) and the hyperlipidemic group (6 rats) according to body weight.","[{""entity_group"": ""methodology"", ""word"": ""randomly divided"", ""start"": 25, ""end"": 41, ""score"": 0.9962286949157715}, {""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 51, ""end"": 64, ""score"": 0.9992179870605469}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10005657_v1,"After 15 weeks, compared with the control group, the levels of TC, TG, and LDL-C in the hyperlipidemic group were significantly increased, and the level of HDL-C was significantly decreased, indicating that the animal model was successfully established.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 34, ""end"": 47, ""score"": 0.9997963905334473}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10005657_v1,"In addition, a 10 µL solution from each plasma sample was mixed and marked as quality control (QC) samples.","[{""entity_group"": ""methodology"", ""word"": ""quality control"", ""start"": 78, ""end"": 93, ""score"": 0.9998053312301636}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10005657_v1,"Genistin may treat hyperlipidemia by regulating the level of creatine, which can be produced by the arginine and proline metabolic pathway in vivo.","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 139, ""end"": 146, ""score"": 0.902407169342041}]",IAO:0000615 conclusion section
PMC10005657_v1,"Finally, the character of genistin metabolites in the treatment of hyperlipidemia by mediating the level of creatine in vivo should also not be ignored.","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 117, ""end"": 124, ""score"": 0.9944950938224792}]",IAO:0000615 conclusion section
PMC10005657_v1,The animal study protocol was approved by the Institutional Review Board (or Ethics Committee) of Binzhou Medical University (2021-083).,"[{""entity_group"": ""methodology"", ""word"": ""animal study"", ""start"": 4, ""end"": 16, ""score"": 0.9998176097869873}]",IAO:0000314 document part
PMC10030798_v1,"Overall, at the termination of the 40-day feeding trial, dietary CN had a significant effect on FW and WG, except for ADFI and FCR, in finishing pigs.","[{""entity_group"": ""methodology"", ""word"": ""feeding trial"", ""start"": 42, ""end"": 55, ""score"": 0.9942703247070312}]",IAO:0000315 textual abstract section
PMC10030798_v1,"After 40 days of the feeding trial, serum biochemical parameters such as glutamic-pyruvic transaminase, glutamic-oxaloacetic transaminase, triglycerides, and total cholesterol levels were significantly decreased in pigs fed the CN supplemented diet.","[{""entity_group"": ""methodology"", ""word"": ""feeding trial"", ""start"": 21, ""end"": 34, ""score"": 0.998724639415741}]",IAO:0000315 textual abstract section
PMC10030798_v1,"Experimental protocols describing the management and care of animals were reviewed and approved by the Animal Care and Use Committee of Jeju National University, Republic of Korea (approval no.","[{""entity_group"": ""methodology"", ""word"": ""experimental protocols"", ""start"": 0, ""end"": 22, ""score"": 0.9837641716003418}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10030798_v1,The finishing pigs were arbitrarily distributed into nine pens based on average body weight using a randomized block design (RBD) according to three dietary treatments.,"[{""entity_group"": ""methodology"", ""word"": ""randomized block design"", ""start"": 100, ""end"": 123, ""score"": 0.9628068208694458}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10030798_v1,Each pen was provided with a self-feeding and drinking water system in a controlled environment with proper air supply and temperature (28°C).,"[{""entity_group"": ""methodology"", ""word"": ""controlled environment"", ""start"": 73, ""end"": 95, ""score"": 0.9994115233421326}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10030798_v1,"Collectively, at the end of the 40 days of feeding trial in finishing pigs, we found significant effects of dietary CN on FW, WG, and ADG in pigs; however, no significant effect was observed in ADFI and FCR of pigs fed CN supplemented diets compared to the CON diet.","[{""entity_group"": ""methodology"", ""word"": ""feeding trial"", ""start"": 43, ""end"": 56, ""score"": 0.9997620582580566}]",IAO:0000318 results section
PMC10030798_v1,"(24) found that plant derived phenolic compounds with liposomal nano carrier can improve the intestinal health on induced colorectal cancer or metal toxicity in murine model, respectively.","[{""entity_group"": ""methodology"", ""word"": ""m"", ""start"": 161, ""end"": 162, ""score"": 0.8993852138519287}, {""entity_group"": ""methodology"", ""word"": ""##ne model"", ""start"": 165, ""end"": 173, ""score"": 0.765277624130249}]",IAO:0000319 discussion section
PMC10033662_v1,"The hepatic hexokinase, pyruvate kinase, GLU-6-phosphatase and glutamic oxalacetic transaminase activities in the largemouth bass were significantly upregulated when compared with those in the control group.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 193, ""end"": 206, ""score"": 0.9998220205307007}]",IAO:0000315 textual abstract section
PMC10033662_v1,"High-throughput sequencing revealed that compared with those in the control group, the Chao one index and Bacteroidota contents were significantly upregulated and the Firmicutes contents were downregulated in the BBR group.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 68, ""end"": 81, ""score"": 0.9998666048049927}]",IAO:0000315 textual abstract section
PMC10033662_v1,All animal studies in this paper were performed according to the relevant national and international guidelines.,"[{""entity_group"": ""methodology"", ""word"": ""animal studies"", ""start"": 4, ""end"": 18, ""score"": 0.9997225999832153}, {""entity_group"": ""methodology"", ""word"": ""guidelines"", ""start"": 101, ""end"": 111, ""score"": 0.8906660079956055}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10033662_v1,"Largemouth bass (n = 360; initial weight = 133.7 ± 1.43 g) were randomly assigned to 12 cage nets (capacity: 280L, 30 fish per tank) in a concrete pond and classified into the following four dietary treatment groups (Table 1): control, fed on a standardised commercial diet; BBR, fed on BBR (1 g/kg feed, Solarbio)-supplemented feed; mixed ATB group, fed on mixed ATB (0.9 g/kg feed: metronidazole (200 mg/kg feed, Sangon), gentamicin sulfate (200 mg/kg feed, Solarbio), neomycin sulfate (200 mg/kg feed, Solarbio), ampicillin sodium (200 mg/kg feed, Solarbio) and vancomycin (100 mg/kg feed, Macklin))-supplemented feed; ATB + BBR group, fed on BBR (1 g/kg feed) and mixed ATB (0.9 g/kg feed)-supplemented feed.","[{""entity_group"": ""methodology"", ""word"": ""randomly assigned"", ""start"": 64, ""end"": 81, ""score"": 0.9999275803565979}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10033662_v1,Largemouth bass in each dietary treatment group was randomly assigned to three cage nets.,"[{""entity_group"": ""methodology"", ""word"": ""randomly assigned"", ""start"": 52, ""end"": 69, ""score"": 0.9995397329330444}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10033662_v1,"In-vitro culture of intestinal microorganisms of largemouth bass was performed according to a previously reported method with some modifications (Krajmalnik-Brown et al., 2012; Hanning and Diaz-Sanchez 2015; Liu et al., 2019; Aranda-Díaz et al., 2022).","[{""entity_group"": ""methodology"", ""word"": ""##it"", ""start"": 4, ""end"": 6, ""score"": 0.8165596723556519}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC10033662_v1,"As shown in Table 2, compared with that in the control group, the weight gain rate of largemouth bass was significantly higher in the BBR group (p < 0.05).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 47, ""end"": 60, ""score"": 0.9999182820320129}]",IAO:0000318 results section
PMC10033662_v1,"Meanwhile, compared with those in the control group, the final body weight and specific growth rate were higher and the viscera weight and hepatosomatic indices were lower in the BBR group, but the changes were not significant (p > 0.05).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 38, ""end"": 51, ""score"": 0.9998480081558228}]",IAO:0000318 results section
PMC10033662_v1,"Furthermore, compared with those in the control group, the final bodyweight and weight gain and specific growth rates were significantly lower (p < 0.05) and the viscera weight and hepatosomatic indices were significantly higher in the ATB group (p < 0.05).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 40, ""end"": 53, ""score"": 0.9998600482940674}]",IAO:0000318 results section
PMC10033662_v1,"The serum TG, LDL-C, GOT, AKP, and ACP levels in the BBR group were non-significantly lower than those in the control group (p > 0.05).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 110, ""end"": 123, ""score"": 0.9997817873954773}]",IAO:0000318 results section
PMC10033662_v1,"The serum GLU, GOT, AKP, and ACP levels in the ATB group were significantly higher than those in the control group (p < 0.05).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 101, ""end"": 114, ""score"": 0.9997252225875854}]",IAO:0000318 results section
PMC10033662_v1,"Compared with those in the control group, the serum TBA levels were significantly lower in the ATB group (p < 0.05).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 27, ""end"": 40, ""score"": 0.9997284412384033}]",IAO:0000318 results section
PMC10033662_v1,"Compared with those in the control group, the serum GLU and LDL-C levels were significantly higher in the BBR + ATB group (p < 0.05).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 27, ""end"": 40, ""score"": 0.999781608581543}]",IAO:0000318 results section
PMC10033662_v1,The HDL-C and TBA levels in the BBR + ATB group were significantly lower than those in the control group (p < 0.05).,"[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 91, ""end"": 104, ""score"": 0.9996018409729004}]",IAO:0000318 results section
PMC10033662_v1,"The PEPCK, PFK and PC activities in the BBR group were not significantly different from those in the control group (p > 0.05) but were significantly lower than those in the ATB group.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 101, ""end"": 114, ""score"": 0.9998517036437988}]",IAO:0000318 results section
PMC10033662_v1,"Compared with those in the control group, the PEPCK, PFK and PC activities were significantly higher in the ATB group (p < 0.05).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 27, ""end"": 40, ""score"": 0.9997664093971252}]",IAO:0000318 results section
PMC10033662_v1,"In contrast, the Shannon and Simpson indices in the ATB and BBR + ATB groups were lower than those in the control group, indicating that BBR decreased community diversity.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 106, ""end"": 119, ""score"": 0.9997500777244568}]",IAO:0000318 results section
PMC10033662_v1,"Compared with that in the control group (17.93%), the intestinal Firmicutes content in the BBR group (7.26%) was significantly lower, but was significantly higher in the ATB (48.14%) and ATB + BBR group (34.17%).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 26, ""end"": 39, ""score"": 0.9999116659164429}]",IAO:0000318 results section
PMC10033662_v1,"Compared with that in the control group (6.12%), the Bacteroidota content was significantly higher in the BBR group (19.48%) and significantly lower in the ATB (1.06%) and ATB + BBR groups (0.76%).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 26, ""end"": 39, ""score"": 0.9998739361763}]",IAO:0000318 results section
PMC10033662_v1,"The Proteobacteria contents in the BBR (25.62%), ATB (19.16%), and ATB + BBR (6.43%) groups were significantly lower than that in the control group (36.85%).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 134, ""end"": 147, ""score"": 0.9995134472846985}]",IAO:0000318 results section
PMC10033662_v1,"As shown in Figure 2, at the genus level, the Mycoplasma content in the ATB (5.85%) and ATB + BBR groups (24.78%) was higher than that in the control group (0.1%).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 142, ""end"": 155, ""score"": 0.9998435974121094}]",IAO:0000318 results section
PMC10033662_v1,"Compared with that in the control group (28.54%), the Chloroplast content was lower in the BBR group (19.00%) and higher in the ATB (37.28%) and ATB + BBR groups (31.61%).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 26, ""end"": 39, ""score"": 0.9997637271881104}]",IAO:0000318 results section
PMC10033662_v1,"The Pseudomonas content in the BBR (8.69%), ATB (10.55%), and ATB + BBR groups (6.20%) was lower than that in the control group (18.50%).","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 114, ""end"": 127, ""score"": 0.999753475189209}]",IAO:0000318 results section
PMC10033662_v1,The Candidatus Paenicardinium content in the BBR group (1.37%) was higher than that in the control group (0.35%).,"[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 91, ""end"": 104, ""score"": 0.9997763633728027}]",IAO:0000318 results section
