iao_id,iao_name,count
IAO:0000317,methods section,2804
IAO:0000319,discussion section,2563
IAO:0000633,materials section,1419
IAO:0000318,results section,1336
IAO:0000316,introduction section,1212
IAO:0000315,textual abstract section,876
IAO:0000314,document part,398
IAO:0000615,conclusion section,189
IAO:0000305,document title,172
IAO:0000620,ethical approval section,85
IAO:0000323,author contributions section,80
,participants section,69
IAO:0000630,keywords section,63
IAO:0000623,funding source declaration section,57
IAO:0000324,acknowledgements section,49
IAO:0000325,footnote section,35
IAO:0000631,study limitations section,17
IAO:0000326,supplementary material section,13
IAO:0000622,figures section,11
IAO:0000645,tables section,11
IAO:0000611,availability section,10
IAO:0000625,future directions section,10
IAO:0000644,statistical analysis section,8
IAO:0000634,notes section,6
IAO:0000313,patent section,5
IAO:0000616,conflict of interest section,5
IAO:CUIless,highlights section,2
IAO:0000618,consent section,1
IAO:CUIless,disclosure section,1
IAO:0000606,abbreviations section,0
IAO:0000607,author information section,0
IAO:0000637,pre-publication history section,0
