TEXT,LABEL
The study design has been described previously [14].,Cohort study
"This study is an open-label, parallel-group randomised controlled trial design for a 12-week intervention with a 4-week follow-up.",Randomised controlled trial
"Similarly, several intervention studies that studied the effect of adding cereal at breakfast did not show any significant improvement of weight measures [31,32,33,34].",Non-randomised controlled trial
Gene expression studies have noted a coordinate down-regulation of lipid biosynthetic genes in cells expressing CAG expanded Htt and in cells that lack Htt expression [48].,"In vitro research, Laboratory research"
"Similarly, a previous in vivo study evaluating the effect of the dietary supplementation of garlic metabolites revealed increased BWG and higher antibody response in NE challenged chickens when compared with challenged birds with no garlic supplementation [47].","In vitro research, Laboratory research"
"casei Zhang in murine models and a human clinical study of kidney injury, laying the groundwork for future research about its potential role in human kidney disease.","Animal research, In vivo studies"
"Dietary fat oxidation was measured before (control period day 11) and at the end of the bed rest (bed rest day 78), 36 h after the last bout of exercise, through a combination of indirect calorimetry and a recently developed method by which fatty acids labeled by stable isotopes are mixed into a standard breakfast.",Cross-sectional study
"The use of animals and all experimental procedures were approved by the University of Guelphâs Animal Care Committee in accordance with the Canadian Council on Animal Care guidelines (CCAC, 2009).","Animal research, In vivo studies"
All participants gave written informed consent before enrollment.,Randomised controlled trial
"If abstracts were not available or provided insufficient information, the entire article was retrieved and screened against the inclusion criteria.",Systematic analysis
"Systematically, all first biopsies were collected from the right side of the abdomen (first day of each nutritional intervention), and the second biopsy from the left side of the abdomen (last day of each nutritional intervention).",Systematic analysis
Our aim was to undertake a dietary intervention study to investigate the effects of daily consumption of quinoa-enriched bread (providing 20 g quinoa flour) on CVD risk markers compared with a 100% refined wheat bread control.,Randomised controlled trial
"Apart from a higher dietary cholesterol intake in the Egg group compared to the Con group (Pâ?â?.001) and a lower oleic acid intake in the Egg group compared to the control group (Pâ?â?.05) during the intervention, no differences were observed in total energy and nutrient intake during the study13.",Randomised controlled trial
We identified eligible observational studies and trials from the same online search.,Cohort study
Sampling weights were used to reflect the complex sampling design of the KNHANES and to acquire nationally representative estimates.,Cross-sectional study
"Indeed, according to PCA of family-level composition, samples clustered according to age rather than cohort and showed the relative contributions of bacterial families to the variation in the data set (Fig.",Cohort study
"Before entering the study the patients were given oral and written information, after which we received written informed consent from the patients.",Randomised controlled trial
Table 2 presents gastrointestinal symptoms experienced by control and intervention groups.,Randomised controlled trial
The specific properties and cell culture conditions have been described previously [19].,"In vitro research, Laboratory research"
The full details of the study design and patient inclusion and exclusion criteria were published previously [4].,Cohort study
The results from our previous human trials revealed the potential of the dietary components high-oleic acid canola oil (HOCO)-docosahexaenoic acid (DHA) and high molecular weight barley Î²-glucan individually in managing CVD risk factors.,Randomised controlled trial
"Ewes were randomly assigned to one of three covered pens, each with an area of approximately 30 m2 and containing both concrete and straw flooring in the same sheep pen.",Randomised controlled trial
"More objective methods such as using food diary or blood biomarkers for nutrients can provide more accurate information, although they might not be feasible in large scale epidemiologic studies.",Cohort study
Prolonged fasting promotes the reprogramming of pancreatic cells to restore insulin generation in islets from T1D patients and reverses both T1D and T2D phenotypes in mouse models [133].,"Animal research, In vivo studies"
"Body composition (lean and fat mass) was assessed in all cohorts during the first week of the acclimation phase to establish baseline phenotypes, as well as after 8 weeks of the experimental diet challenge using the Echo MRI-130 Body Composition Analyzer (EchoMRI, Houston, TX, USA).",Cohort study
"In cohort studies, it has been shown that adherence to vegetarian diets result in a moderate reduction in mortality from coronary heart disease as vegetarian diets are rich n-6 polyunsaturated fatty acids, fibre, carotenoids which may positively impact cardiovascular risk factors [50].",Cohort study
"From 45 DPI, BLV proviral DNA and anti-gp51 antibodies could be detected in all the 15 cows in the intervention group, while the control animals remained negative throughout this experiment (Figure 1).",Randomised controlled trial
"This study was conducted at Japan Womenâs University according to the guidelines of the Declaration of Helsinki, and all procedures were approved by The Ethics Committee for Experimental Research involving Human Subjects of Japan Womenâs University (No.246).",Cohort study
This finding is not in accordance with a previous in vivo finding [29].,"In vitro research, Laboratory research"
"The participants were given an explanation about the aim of the study, and all of them provided a written informed consent to the use of their data.",Randomised controlled trial
Information about consumption of organic food is based on 6 questions about specified organic food groups included in the food frequency questionnaire of the Norwegian Mother and Child Cohort Study (http://www.fhi.no/dokumenter/011fbd699d.pdf).,Cohort study
"Ex vivo human platelet aggregation against all agonists used, as well as PAI-1 and sP-selectin did not differ between the two treatments (Table 3).","In vitro research, Laboratory research"
"In a meta-analysis, individuals that switched from a low-undigested carbohydrate diet (<15 g/day) to a high-undigested carbohydrate diet (25â?9 g) were found to have a 1.3% lower mortality rate and a 0.6% lower incidence of heart disease, and to be at lower risk of developing T2DM, hypertension, dyslipidemia, and bowel cancer and of becoming obese [46,47].",Meta-analysis
"Nevertheless, owing to the lack of viable LOX-deficient mice (Maki et al., 2002; Hornstra et al., 2003), this inhibitor has been extensively used in short-term in vivo studies to support the involvement of lysyl oxidases in multiple biological processes, including tumour progression and metastasis (Levental et al., 2009; Erler et al., 2006), pulmonary arterial hypertension (Nave et al., 2014) and arterial stiffening (Kothapalli et al., 2012).","In vitro research, Laboratory research"
F1 progeny were produced by artificial insemination or in vitro fertilization (IVF) with epididymal sperm collected from the clones.,"In vitro research, Laboratory research"
"These cohorts are different with respect to maternal obesity and generally differ in terms of socio-economic status, C-section prevalence, and early infant feeding but differ only slightly with respect to infant body composition measures (Table 1).",Cohort study
7.1% in the whole cohort (Fig 5C).,Cohort study
Primary Care SHOPping intervention for cardiovascular disease prevention (PC-SHOP): protocol for a randomised controlled trial to reduce saturated fat intake,Randomised controlled trial
"In retrospect, the Sardinian island cohort provides relative homogeneity in terms of genetic background and environmental factors.",Cohort study
"Tools such as LOHAS (97), which use either whole-genome sequence or genotype data in cohorts of either related or unrelated individuals, are now available for performing WGH association tests under the study designs for both caseâcontrol and quantitative trait association tests.",Cohort study
"However, the abundance of mer genes did not correlate with fecal methylmercury levels in a recent clinical study, raising the possibility of additional enzymes or indirect effects (87).",Cohort study
"They were randomly divided into two dietary groups, normal chow diet, ND (n = 13) and HFD (n = 13).",Randomised controlled trial
